Tweet,Target,Stance
@awj9009 not at all I think the statute of limitations has expired plus I can always have a driver ala #SemST,hillary clinton,2
"Pundits say Jim Webb facing uphill battle with Hillary.  Really, it's with Bernie for the anti-Hillary vote.  #JimWebb #SemST",hillary clinton,0
"SCOTUS dealt a blow to Hillary Clintons last campaign 'promise'... What is she running on now? Corruption, lies, and deceit. #SemST",hillary clinton,0
Hillary can't use a fucking fax machine but you idiots are going to vote for her to be President?  #SemST,hillary clinton,0
"take faith that almost every political entity around you, whether dissident or not, serves no good purpose #Dempublicans #SemST",hillary clinton,0
@RandPaul @HillaryClinton you could never dream to be as intelligent as she is #SemST,hillary clinton,1
"Let's make Secretary Clinton, President Clinton - @AGMarkHerring @vademocrats #SemST",hillary clinton,1
"Night, sleep tight, don't let Hillary bite. says @Tony_Tickets   ""Nightmares"" is all I say.  #SemST",hillary clinton,0
"@TODAYshow @ChrisChristie is not qualified b/c he eats $82,000 in snacks & b/c of D corruption of #Bridgegate  A BIG FAT BULLY! #SemST",hillary clinton,0
@awadgolf @Crossbearer1956 @ScottSaxman1 This is why I'm not voting for Hillary #SemST,hillary clinton,0
@jstines3 @bcwilliams92 #Stephens begged for his life & @HillaryClinton @Madam_President is begging for ur vote #NotAChanceInHell #SemST,hillary clinton,0
@ChrisChristie couldn't run his way out of a paper bag let alone beat #HillaryClinton. Go home Chris u r drunk. #ChrisChristie #SemST,hillary clinton,1
Thanks @izzybugatti for participating! WE are lucky to have YOU here in Iowa. #FellowsIA #SemST,hillary clinton,2
@dedicated_to_it i think the main problem is having your foot in your mouth in the first place. #SemST,hillary clinton,2
"@JessieJaneDuff Results matter. U may feel less safe, but that is ur mental health issues. No 9/11s on Obama's watch #SemST",hillary clinton,0
@HillaryIn2016 hey I just checked your blog. Kudos! Keep it up! #SemST,hillary clinton,0
"@TheView I think our country is ready for a female pres, it can't ever be Hillary",hillary clinton,0
